按键记录日志 - 2025-03-17 20:25:13.573
2025-03-17 20:37:32.166 - d
2025-03-17 20:37:32.244 - Key.space
2025-03-17 20:37:32.377 - s
2025-03-17 20:37:32.467 - h
2025-03-17 20:37:32.521 - i
2025-03-17 20:37:32.621 - h
2025-03-17 20:37:32.689 - o
2025-03-17 20:37:32.761 - u
2025-03-17 20:37:32.829 - Key.space
2025-03-17 20:37:33.113 - ,
2025-03-17 20:37:33.884 - k
2025-03-17 20:37:34.029 - n
2025-03-17 20:37:34.152 - Key.space
2025-03-17 20:37:34.272 - h
2025-03-17 20:37:34.399 - u
2025-03-17 20:37:34.495 - i
2025-03-17 20:37:34.595 - y
2025-03-17 20:37:34.667 - o
2025-03-17 20:37:34.815 - n
2025-03-17 20:37:34.888 - g
2025-03-17 20:37:34.939 - d
2025-03-17 20:37:35.019 - a
2025-03-17 20:37:35.082 - o
2025-03-17 20:37:35.310 - Key.space
2025-03-17 20:37:35.624 - Key.enter
2025-03-17 20:38:07.082 - c
2025-03-17 20:38:07.096 - d
2025-03-17 20:38:07.472 - Key.shift
2025-03-17 20:38:07.844 - Key.space
2025-03-17 20:38:07.992 - Key.shift
2025-03-17 20:38:08.589 - ~
2025-03-17 20:38:08.769 - /
2025-03-17 20:38:09.058 - k
2025-03-17 20:38:09.275 - e
2025-03-17 20:38:09.515 - Key.tab
2025-03-17 20:38:10.100 - Key.enter
2025-03-17 20:38:10.555 - l
2025-03-17 20:38:10.577 - s
2025-03-17 20:38:10.717 - Key.enter
2025-03-17 20:38:11.700 - c
2025-03-17 20:38:11.740 - s
2025-03-17 20:38:11.844 - a
2025-03-17 20:38:12.208 - Key.backspace
2025-03-17 20:38:12.336 - Key.backspace
2025-03-17 20:38:12.392 - a
2025-03-17 20:38:12.550 - t
2025-03-17 20:38:13.698 - Key.space
2025-03-17 20:38:14.037 - k
2025-03-17 20:38:15.288 - e
2025-03-17 20:38:15.368 - y
2025-03-17 20:38:15.879 - Key.shift
2025-03-17 20:38:15.994 - _
2025-03-17 20:38:16.175 - l
2025-03-17 20:38:16.311 - Key.tab
2025-03-17 20:38:16.897 - Key.enter
2025-03-17 20:38:21.661 - c
2025-03-17 20:38:21.809 - l
2025-03-17 20:38:21.892 - e
2025-03-17 20:38:21.939 - a
2025-03-17 20:38:22.052 - r
2025-03-17 20:38:22.238 - Key.enter
2025-03-17 20:38:23.275 - g
2025-03-17 20:38:23.382 - i
2025-03-17 20:38:23.453 - t
2025-03-17 20:38:23.645 - Key.space
2025-03-17 20:38:23.825 - i
2025-03-17 20:38:23.978 - n
2025-03-17 20:38:24.137 - i
2025-03-17 20:38:24.200 - t
2025-03-17 20:38:24.472 - Key.enter
2025-03-17 20:38:26.027 - g
2025-03-17 20:38:26.172 - i
2025-03-17 20:38:26.236 - t
2025-03-17 20:38:26.587 - Key.space
2025-03-17 20:38:26.807 - a
2025-03-17 20:38:26.973 - d
2025-03-17 20:38:27.102 - d
2025-03-17 20:38:27.320 - Key.space
2025-03-17 20:38:27.735 - Key.backspace
2025-03-17 20:38:27.842 - Key.backspace
2025-03-17 20:38:27.977 - Key.backspace
2025-03-17 20:38:28.119 - Key.backspace
2025-03-17 20:38:28.254 - Key.backspace
2025-03-17 20:38:28.385 - Key.backspace
2025-03-17 20:38:28.526 - Key.backspace
2025-03-17 20:38:28.653 - Key.backspace
2025-03-17 20:38:52.810 - r
2025-03-17 20:38:52.864 - e
2025-03-17 20:38:52.993 - a
2025-03-17 20:38:53.119 - d
2025-03-17 20:38:53.479 - m
2025-03-17 20:38:53.526 - e
2025-03-17 20:38:53.963 - .
2025-03-17 20:38:54.272 - m
2025-03-17 20:38:54.347 - d
2025-03-17 20:38:55.860 - Key.enter
2025-03-17 20:39:03.749 - Key.cmd
2025-03-17 20:39:03.834 - v
2025-03-17 20:39:07.151 - Key.cmd
2025-03-17 20:39:07.270 - s
2025-03-17 20:39:32.524 - /
2025-03-17 20:39:33.861 - Key.enter
2025-03-17 20:39:34.918 - h
2025-03-17 20:39:35.247 - Key.backspace
2025-03-17 20:39:35.733 - k
2025-03-17 20:39:36.120 - e
2025-03-17 20:39:36.159 - y
2025-03-17 20:39:36.667 - Key.shift
2025-03-17 20:39:36.913 - Key.shift
2025-03-17 20:39:37.005 - _
2025-03-17 20:39:37.183 - c
2025-03-17 20:39:37.254 - o
2025-03-17 20:39:37.319 - u
2025-03-17 20:39:37.476 - n
2025-03-17 20:39:37.520 - t
2025-03-17 20:39:37.915 - Key.shift
2025-03-17 20:39:38.070 - h
2025-03-17 20:39:38.176 - o
2025-03-17 20:39:38.231 - u
2025-03-17 20:39:38.966 - Key.backspace
2025-03-17 20:39:39.088 - Key.backspace
2025-03-17 20:39:39.505 - Key.backspace
2025-03-17 20:39:39.538 - Key.backspace
2025-03-17 20:39:39.571 - Key.backspace
2025-03-17 20:39:39.605 - Key.backspace
2025-03-17 20:39:39.639 - Key.backspace
2025-03-17 20:39:39.673 - Key.backspace
2025-03-17 20:39:39.707 - Key.backspace
2025-03-17 20:39:39.741 - Key.backspace
2025-03-17 20:39:39.775 - Key.backspace
2025-03-17 20:39:39.810 - Key.backspace
2025-03-17 20:39:39.843 - Key.backspace
2025-03-17 20:39:39.877 - Key.backspace
2025-03-17 20:39:39.912 - Key.backspace
2025-03-17 20:39:39.946 - Key.backspace
2025-03-17 20:39:40.005 - Key.cmd
2025-03-17 20:39:40.082 - v
2025-03-17 20:39:43.680 - Key.media_volume_up
2025-03-17 20:39:44.285 - Key.backspace
2025-03-17 20:39:45.631 - Key.cmd
2025-03-17 20:39:46.298 - c
2025-03-17 20:39:46.618 - Key.cmd
2025-03-17 20:39:46.720 - v
2025-03-17 20:39:49.010 - Key.backspace
2025-03-17 20:39:49.397 - Key.cmd
2025-03-17 20:39:49.496 - s
2025-03-17 20:39:51.460 - Key.cmd
2025-03-17 20:39:51.561 - s
2025-03-17 20:41:49.432 - j
2025-03-17 20:41:49.481 - i
2025-03-17 20:41:49.561 - a
2025-03-17 20:41:49.758 - r
2025-03-17 20:41:49.834 - u
2025-03-17 20:41:49.976 - Key.space
2025-03-17 20:41:50.097 - w
2025-03-17 20:41:50.170 - o
2025-03-17 20:41:50.288 - Key.space
2025-03-17 20:41:50.529 - Key.backspace
2025-03-17 20:41:50.666 - Key.backspace
2025-03-17 20:41:50.781 - Key.backspace
2025-03-17 20:41:50.942 - j
2025-03-17 20:41:51.004 - i
2025-03-17 20:41:51.004 - a
2025-03-17 20:41:51.141 - r
2025-03-17 20:41:51.197 - u
2025-03-17 20:41:51.907 - 2
2025-03-17 20:41:52.073 - s
2025-03-17 20:41:52.145 - o
2025-03-17 20:41:52.309 - y
2025-03-17 20:41:52.357 - a
2025-03-17 20:41:52.409 - o
2025-03-17 20:41:52.547 - x
2025-03-17 20:41:52.590 - i
2025-03-17 20:41:52.662 - a
2025-03-17 20:41:52.739 - n
2025-03-17 20:41:52.786 - g
2025-03-17 20:41:53.651 - 2
2025-03-17 20:41:53.954 - Key.backspace
2025-03-17 20:41:54.073 - x
2025-03-17 20:41:54.156 - i
2025-03-17 20:41:54.225 - a
2025-03-17 20:41:54.280 - n
2025-03-17 20:41:54.330 - g
2025-03-17 20:41:55.153 - 2
2025-03-17 20:41:55.252 - m
2025-03-17 20:41:55.416 - i
2025-03-17 20:41:55.471 - a
2025-03-17 20:41:55.565 - n
2025-03-17 20:41:55.632 - s
2025-03-17 20:41:55.708 - h
2025-03-17 20:41:55.739 - i
2025-03-17 20:41:55.831 - g
2025-03-17 20:41:56.057 - Key.space
2025-03-17 20:41:56.781 - m
2025-03-17 20:41:56.923 - i
2025-03-17 20:41:56.954 - a
2025-03-17 20:41:57.063 - o
2025-03-17 20:41:57.122 - s
2025-03-17 20:41:57.225 - h
2025-03-17 20:41:57.273 - u
2025-03-17 20:41:57.433 - Key.space
2025-03-17 20:41:57.512 - w
2025-03-17 20:41:57.589 - o
2025-03-17 20:41:57.665 - Key.space
2025-03-17 20:41:57.859 - z
2025-03-17 20:41:57.946 - u
2025-03-17 20:41:57.999 - o
2025-03-17 20:41:58.533 - Key.space
2025-03-17 20:41:58.604 - d
2025-03-17 20:41:58.691 - Key.space
2025-03-17 20:41:58.798 - z
2025-03-17 20:41:58.866 - h
2025-03-17 20:41:58.938 - e
2025-03-17 20:41:59.365 - y
2025-03-17 20:41:59.436 - i
2025-03-17 20:41:59.496 - g
2025-03-17 20:41:59.598 - Key.space
2025-03-17 20:41:59.714 - x
2025-03-17 20:41:59.780 - i
2025-03-17 20:41:59.830 - a
2025-03-17 20:41:59.906 - o
2025-03-17 20:42:00.014 - x
2025-03-17 20:42:00.067 - i
2025-03-17 20:42:00.130 - a
2025-03-17 20:42:00.202 - n
2025-03-17 20:42:00.238 - g
2025-03-17 20:42:00.359 - m
2025-03-17 20:42:00.502 - u
2025-03-17 20:42:00.602 - Key.space
2025-03-17 20:42:00.738 - ,
2025-03-17 20:42:01.238 - w
2025-03-17 20:42:01.298 - i
2025-03-17 20:42:01.568 - Key.backspace
2025-03-17 20:42:01.699 - Key.backspace
2025-03-17 20:42:01.831 - q
2025-03-17 20:42:01.883 - i
2025-03-17 20:42:01.987 - n
2025-03-17 20:42:02.040 - g
2025-03-17 20:42:02.135 - n
2025-03-17 20:42:02.241 - i
2025-03-17 20:42:02.350 - Key.space
2025-03-17 20:42:02.584 - b
2025-03-17 20:42:02.643 - a
2025-03-17 20:42:02.666 - n
2025-03-17 20:42:02.787 - g
2025-03-17 20:42:02.815 - w
2025-03-17 20:42:02.891 - o
2025-03-17 20:42:02.955 - Key.space
2025-03-17 20:42:04.385 - Key.backspace
2025-03-17 20:42:04.498 - Key.backspace
2025-03-17 20:42:04.638 - g
2025-03-17 20:42:04.736 - i
2025-03-17 20:42:04.869 - c
2025-03-17 20:42:04.948 - h
2025-03-17 20:42:05.286 - Key.backspace
2025-03-17 20:42:05.414 - Key.backspace
2025-03-17 20:42:05.815 - Key.backspace
2025-03-17 20:42:05.905 - e
2025-03-17 20:42:06.031 - i
2025-03-17 20:42:06.132 - c
2025-03-17 20:42:06.190 - h
2025-03-17 20:42:06.250 - u
2025-03-17 20:42:06.332 - Key.space
2025-03-17 20:42:06.496 - y
2025-03-17 20:42:06.551 - i
2025-03-17 20:42:06.612 - x
2025-03-17 20:42:06.724 - i
2025-03-17 20:42:06.792 - e
2025-03-17 20:42:06.830 - Key.space
2025-03-17 20:42:07.030 - h
2025-03-17 20:42:07.076 - u
2025-03-17 20:42:07.104 - a
2025-03-17 20:42:07.251 - s
2025-03-17 20:42:07.330 - h
2025-03-17 20:42:07.391 - u
2025-03-17 20:42:07.666 - Key.space
2025-03-17 20:42:07.882 - Key.enter
2025-03-17 20:44:25.765 - d
2025-03-17 20:44:25.907 - d
2025-03-17 20:44:26.072 - d
2025-03-17 20:44:26.616 - g
2025-03-17 20:44:26.647 - f
2025-03-17 20:44:26.661 - d
2025-03-17 20:44:26.831 - f
2025-03-17 20:44:26.838 - d
2025-03-17 20:44:26.939 - g
2025-03-17 20:44:27.573 - Key.backspace
2025-03-17 20:44:27.991 - Key.backspace
2025-03-17 20:44:28.024 - Key.backspace
2025-03-17 20:44:28.058 - Key.backspace
2025-03-17 20:44:28.091 - Key.backspace
2025-03-17 20:44:28.133 - Key.backspace
2025-03-17 20:44:28.158 - Key.backspace
2025-03-17 20:44:28.195 - Key.backspace
2025-03-17 20:44:28.231 - Key.backspace
2025-03-17 20:44:28.262 - Key.backspace
2025-03-17 20:44:28.293 - Key.backspace
2025-03-17 20:44:28.327 - Key.backspace
2025-03-17 20:44:28.360 - Key.backspace
2025-03-17 20:44:28.395 - Key.backspace
2025-03-17 20:44:57.753 - a
2025-03-17 20:44:58.169 - a
2025-03-17 20:44:58.202 - a
2025-03-17 20:44:58.235 - a
2025-03-17 20:44:58.269 - a
2025-03-17 20:44:58.302 - a
2025-03-17 20:44:58.336 - a
2025-03-17 20:44:58.371 - a
2025-03-17 20:44:58.404 - a
2025-03-17 20:44:58.438 - a
2025-03-17 20:44:58.471 - a
2025-03-17 20:44:58.505 - a
2025-03-17 20:44:58.546 - a
2025-03-17 20:44:58.573 - a
2025-03-17 20:44:58.606 - a
2025-03-17 20:44:58.640 - a
2025-03-17 20:44:58.674 - a
2025-03-17 20:44:58.707 - a
2025-03-17 20:44:58.741 - a
2025-03-17 20:44:58.779 - a
2025-03-17 20:44:58.809 - a
2025-03-17 20:44:58.846 - a
2025-03-17 20:44:58.880 - a
2025-03-17 20:44:58.913 - a
2025-03-17 20:44:58.946 - a
2025-03-17 20:44:58.980 - a
2025-03-17 20:44:59.503 - a
2025-03-17 20:44:59.916 - a
2025-03-17 20:44:59.950 - a
2025-03-17 20:44:59.984 - a
2025-03-17 20:45:00.028 - a
2025-03-17 20:45:00.050 - a
2025-03-17 20:45:00.085 - a
2025-03-17 20:45:00.119 - a
2025-03-17 20:45:00.153 - a
2025-03-17 20:45:00.187 - a
2025-03-17 20:45:00.221 - a
2025-03-17 20:45:00.254 - a
2025-03-17 20:45:00.288 - a
2025-03-17 20:45:00.321 - a
2025-03-17 20:45:00.355 - a
2025-03-17 20:45:00.390 - a
2025-03-17 20:45:00.421 - a
2025-03-17 20:45:00.455 - a
2025-03-17 20:45:00.489 - a
2025-03-17 20:45:00.523 - a
2025-03-17 20:45:00.558 - a
2025-03-17 20:45:01.356 - Key.shift
2025-03-17 20:45:01.788 - Key.cmd
2025-03-17 20:45:01.910 - a
2025-03-17 20:45:02.803 - Key.backspace
